path,label,length
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse004_x264__9.npy,Abuse,1049
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__0.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__1.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__2.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__3.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__4.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__5.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__6.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__7.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__8.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse005_x264__9.npy,Abuse,59
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__0.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__1.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__2.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__3.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__4.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__5.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__6.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__7.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__8.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse006_x264__9.npy,Abuse,273
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__0.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__1.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__2.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__3.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__4.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__5.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__6.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__7.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__8.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse007_x264__9.npy,Abuse,71
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__0.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__1.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__2.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__3.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__4.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__5.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__6.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__7.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__8.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse008_x264__9.npy,Abuse,525
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__0.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__1.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__2.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__3.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__4.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__5.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__6.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__7.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__8.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse009_x264__9.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__0.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__1.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__2.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__3.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__4.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__5.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__6.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__7.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__8.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse010_x264__9.npy,Abuse,70
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__0.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__1.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__2.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__3.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__4.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__5.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__6.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__7.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__8.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse011_x264__9.npy,Abuse,227
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__0.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__1.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__2.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__3.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__4.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__5.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__6.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__7.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__8.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse012_x264__9.npy,Abuse,320
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__0.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__1.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__2.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__3.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__4.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__5.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__6.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__7.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__8.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse013_x264__9.npy,Abuse,304
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__0.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__1.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__2.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__3.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__4.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__5.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__6.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__7.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__8.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse014_x264__9.npy,Abuse,161
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__0.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__1.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__2.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__3.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__4.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__5.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__6.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__7.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__8.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse015_x264__9.npy,Abuse,492
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__0.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__1.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__2.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__3.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__4.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__5.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__6.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__7.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__8.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse016_x264__9.npy,Abuse,87
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__0.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__1.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__2.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__3.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__4.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__5.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__6.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__7.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__8.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse017_x264__9.npy,Abuse,120
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__0.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__1.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__2.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__3.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__4.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__5.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__6.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__7.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__8.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse018_x264__9.npy,Abuse,151
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__0.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__1.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__2.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__3.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__4.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__5.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__6.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__7.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__8.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse019_x264__9.npy,Abuse,246
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__0.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__1.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__2.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__3.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__4.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__5.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__6.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__7.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__8.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse020_x264__9.npy,Abuse,194
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__0.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__1.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__2.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__3.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__4.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__5.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__6.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__7.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__8.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse021_x264__9.npy,Abuse,119
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__0.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__1.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__2.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__3.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__4.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__5.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__6.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__7.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__8.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse022_x264__9.npy,Abuse,177
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__0.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__1.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__2.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__3.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__4.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__5.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__6.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__7.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__8.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse023_x264__9.npy,Abuse,62
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__0.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__1.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__2.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__3.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__4.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__5.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__6.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__7.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__8.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse024_x264__9.npy,Abuse,63
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__0.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__1.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__2.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__3.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__4.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__5.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__6.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__7.npy,Abuse,126
/home/username/VadCLIP/save/UCFClipFeatures/From ViT16/Abuse/Abuse025_x264__8.npy,Abuse,126
